sample_id,depth,prime_An,prime_Bn,doubly_prime,mean_ratio,min_ratio,overflow_depth
3889,72,5,7,1,162.444031,19.037500,72
3890,63,7,6,0,168.062073,26.703615,63
3891,79,8,7,2,150.704498,12.691667,79
3892,65,6,1,0,160.058914,12.691667,65
3893,84,11,7,3,164.677338,20.115816,84
3894,86,7,6,0,161.197128,12.691667,86
3895,63,3,7,0,199.911255,12.691667,63
3896,78,9,10,1,176.250763,29.469137,78
3897,73,5,9,1,163.505066,19.037500,73
3898,86,4,7,0,163.156036,12.691667,86
3899,75,4,8,0,180.921951,53.336990,75
3900,73,8,6,3,154.494919,12.691667,73
3901,76,4,5,3,157.242966,16.403742,76
3902,79,2,7,2,164.322800,29.469137,79
3903,74,5,7,1,184.710541,12.011325,74
3904,76,3,6,0,174.852219,29.469137,76
3905,63,11,11,3,161.019455,10.349608,63
3906,76,7,7,1,187.689255,27.889433,76
3907,75,5,10,2,151.855865,12.691667,75
3908,68,2,5,0,188.377182,53.915802,68
3909,65,7,6,2,171.730728,12.691667,65
3910,69,7,2,0,185.003708,33.720055,69
3911,82,7,6,1,140.887604,13.410544,82
3912,74,6,8,2,174.283295,17.681482,74
3913,86,7,10,4,127.844711,20.115816,86
3914,64,4,7,2,169.433319,29.469137,64
3915,69,4,4,0,220.658569,60.534180,69
3916,73,5,4,2,179.440536,11.155773,73
3917,77,9,6,1,161.311874,16.403742,77
3918,82,10,10,3,154.681229,12.691667,82
3919,63,5,8,2,186.210373,12.691667,63
3920,77,9,7,2,133.012756,12.691667,77
3921,74,6,5,1,180.419083,58.003094,74
3922,64,2,5,0,205.479996,71.471710,64
